"id","correct_name"
"2013/09/B/ST10/01734","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/09/B/ST6/01549","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/09/N/ST6/01011","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/09/N/ST7/01219","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/09/N/ST7/01232","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/09/N/ST7/02219","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/09/N/ST7/02242","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/10/M/ST6/00531","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/17/N/ST7/03728","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2014/12/S/ST7/00265","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2014/13/B/ST7/01634","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2014/13/N/ST7/01961","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/16/Z/ST7/00559","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/17/D/ST3/00500","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/17/D/ST6/04010","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/19/B/ST10/01055","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/19/B/ST9/01710","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/20/T/ST7/00202","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/20/T/ST7/00205","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/21/B/ST6/01461","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/21/B/ST6/01497","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/21/B/ST6/01509","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
